system:index,BIOME_NAME,GIS_AREA,GOV_TYPE,IUCN_CAT,ORIG_NAME,OWN_TYPE,STATUS_YR,WDPA_PID,band_name,boundary_x_count,boundary_x_mean,boundary_x_stdDev,buffer_x_count,buffer_x_mean,buffer_x_stdDev,gHM,year,.geo
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,5.8520020523461744e-05,4.396688640186818e-05,46262,6.309872469190609e-05,4.6925657297240334e-05,0.018297615896897,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.092364501215316,0.7874654822659144,46262,1.028620482282864,0.7631647697051227,0.018297615896897,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,0.9532476933034512,0.6666700773478335,46262,0.874006334145306,0.6305766563093917,0.018297615896897,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,0.999604606886683,0.7168882671110102,46262,0.9538728195476248,0.6982699267439229,0.018297615896897,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.0662614961528796,0.7736018604405211,46262,1.004787823700404,0.750645348663406,0.018297615896897,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,9.737439972759166e-05,8.18449341276913e-05,46262,0.00011041214621357284,8.684632298754039e-05,0.018297615896897,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,5.61187585160445e-05,4.1459458364416224e-05,46262,6.179781231967664e-05,4.5466474553762085e-05,0.018297615896897,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.2220215082735997,0.8704823902089133,46262,1.1917079432371065,0.8612527366933367,0.018297615896897,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,1.0528629864469752,0.7236425104219213,46262,1.0003910579097108,0.7057491537699895,0.018297615896897,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.1076256381785416,0.787751579422665,46262,1.093321912558807,0.7765411783125314,0.018297615896897,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
