system:index,BIOME_NAME,GIS_AREA,GOV_TYPE,IUCN_CAT,ORIG_NAME,OWN_TYPE,STATUS_YR,WDPA_PID,band_name,boundary_x_count,boundary_x_mean,boundary_x_stdDev,buffer_x_count,buffer_x_mean,buffer_x_stdDev,gHM,year,.geo,edge_index
0,Temperate Broadleaf & Mixed Forests,234.261270158791,Federal or national ministry or agency,Not Assigned,Private,Not Reported,1992,555770645,NDVI,25763,8.771136518954016e-05,6.55047454003236e-05,39720,8.791113153859313e-05,6.543777952103547e-05,0.6959187293630673,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.997727633059014
0,Tropical & Subtropical Moist Broadleaf Forests,4067.40927879451,Not Reported,Not Applicable,Kaeng Krachan Forest Complex,Not Reported,2021,555784008,NDVI,9118,5.93891263359859e-05,3.954635273906852e-05,38290,5.836672438836958e-05,4.1628463727990674e-05,0.3337626707980612,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0175168635610472
0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",412.967740565004,Local communities,Not Reported,Loita,Communal,1964,555785980,NDVI,2049,8.773288089085933e-05,4.991028556135483e-05,8410,7.114750633919113e-05,4.6794651641194766e-05,0.202804836132726,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.2331125208042921
0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1229.43553047793,Not Reported,Not Reported,Rio Negro,Not Reported,2001,555786022,NDVI,3127,2.878973723900436e-05,2.971275196051688e-05,16119,2.953632042489236e-05,3.254177375646204e-05,0.1071371319121771,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9747232161911814
0,Temperate Broadleaf & Mixed Forests,358.131533557577,Federal or national ministry or agency,Not Reported,Durmitor mountain with Tara River Canyon,State,0,555786302,NDVI,2313,0.00010120556608411709,6.028434733862367e-05,11622,9.791630146158378e-05,6.379667664137177e-05,0.2205661506153431,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0335926150542338
0,Tundra,1970.0233345981,Federal or national ministry or agency,Not Reported,Reinheimen,State,0,555787044,NDVI,6896,0.0001741004873792797,0.0001401708767869909,39264,0.00015425228200652622,0.00013440183791962318,0.1331660741178786,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.128673657948955
0,Tundra,1692.41896989622,Federal or national ministry or agency,Not Reported,Breheimen,State,0,555787045,NDVI,8205,0.00013200038891766151,0.0001184251544215679,36041,0.00010872154406369976,0.00010780389276165942,0.1153260807838176,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.2141143694604146
0,Temperate Broadleaf & Mixed Forests,213.42845481035,Federal or national ministry or agency,Not Reported,Nidze,State,0,555787159,NDVI,897,0.00010592303330011044,8.054248053899717e-05,6101,8.069317554062084e-05,5.82941738938717e-05,0.2382468100566712,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.3126640833063872
0,Temperate Broadleaf & Mixed Forests,282.820301764299,Federal or national ministry or agency,Not Reported,Kozuf,State,0,555787160,NDVI,1379,6.76640506867301e-05,4.681840627586766e-05,7588,6.963107672651304e-05,4.81670690414357e-05,0.2715847202703722,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9717507450371802
0,Temperate Broadleaf & Mixed Forests,587.262706534319,Federal or national ministry or agency,Not Reported,Mariovo,State,0,555787172,NDVI,1638,8.068827888798496e-05,5.179704304417426e-05,10685,7.661529465639574e-05,5.333713819592041e-05,0.3071940410938861,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",1.053161503194052
