Study.name,Binomial,original.n.ind,final.n.ind,total.n.pts,start.date,end.date,total.days,median.interval.mins,sd.interval.mins,ave.long,ave.lat,countries,iso
muflon_caroux_france,Ovis gmelini musimon,284,276,999696,6/22/03,10/30/23,7435,120,6017.6,2.96118097,43.633809,France,-99
lion_botswana,Panthera leo,18,18,49441,8/16/07,7/23/11,1437,120,3589.5,23.5858277,-19.466608,Botswana,BWA
lion_kenya,Panthera leo,4,4,4816,9/6/24,1/16/25,132,121,25.7,38.1825799,-3.5487038,Kenya,KEN
lion_serengeti,Panthera leo,20,18,92273,3/18/18,9/19/19,550,61,195,34.6386801,-2.6178827,Tanzania,TZA
jaguar_atlantic_forest,Panthera onca,6,6,4407,6/29/06,6/3/12,2166,240,1799.5,-57.825788,-22.695836,Paraguay,PRY
jaguar_costa_rica,Panthera onca,1,1,5923,11/20/14,6/18/16,576,120,122.2,-85.662051,10.8126913,Costa Rica,CRI
jaguar_dry_chaco,Panthera onca,6,6,8194,6/21/02,8/12/12,3705,181,515.4,-59.982622,-21.035898,Paraguay,PRY
jaguar_greater_lacandona_ecosystem,Panthera onca,5,4,1254,1/8/12,11/10/13,672,580,8176.5,-91.040028,16.7344019,"Mexico, Guatemala","MEX, GTM"
jaguar_humid_chaco,Panthera onca,8,8,5435,6/23/09,7/9/15,2207,180,897.8,-58.122924,-23.344385,Paraguay,PRY
jaguar_iop,Panthera onca,6,6,3945,12/6/11,12/7/15,1462,301,3417.7,-52.891172,-17.403493,Brazil,BRA
jaguar_jaguar_conservation_in_argentina,Panthera onca,5,5,8633,2/26/09,6/27/13,1582,30,505.8,-54.368133,-25.664162,"Argentina, Brazil, Paraguay","ARG, BRA, PRY"
jaguar_jaguar_conservation_in_the_atlantic_forest,Panthera onca,10,7,1920,2/26/02,4/10/06,1504,660,6689.2,-53.205583,-22.775266,Brazil,BRA
jaguar_jaguar_conservation_in_the_caatinga_biome,Panthera onca,2,2,6950,11/14/14,6/2/16,566,60,35.1,-42.574915,-8.6463415,Brazil,BRA
jaguar_jaguar_mamiraua,Panthera onca,8,7,6831,12/11/10,8/1/15,1694,242,2791.8,-64.858977,-3.0396337,Brazil,BRA
jaguar_jaguar_mex,Panthera onca,1,1,978,1/12/14,12/3/15,690,120,5529.4,-87.595065,21.3588463,Mexico,MEX
jaguar_jaguar_of_sonora,Panthera onca,2,2,2192,1/2/12,1/1/14,730,240,7768.8,-109.30687,29.66748,Mexico,MEX
jaguar_jaguar_oncafari_project,Panthera onca,10,10,18694,10/30/11,8/30/15,1400,60,9092.2,-56.279674,-19.955389,Brazil,BRA
jaguar_jaguar_taiama,Panthera onca,13,13,39497,1/1/11,4/18/16,1934,60,4321.7,-57.452384,-16.904906,Brazil,BRA
jaguar_jaguars_movement_pattern_in_a_fragmente_landscape,Panthera onca,1,1,2431,9/6/13,10/20/15,774,120,12939.8,-48.548945,-15.904354,Brazil,BRA
jaguar_pantanal,Panthera onca,1,1,726,6/5/10,12/14/10,192,181,627,-58.10154,-20.495086,"Paraguay, Brazil","PRY, BRA"
jaguar_panthera_pantanal_jaguar_project,Panthera onca,15,14,3814,7/8/10,2/1/14,1304,480,30434.1,-56.815422,-17.392342,Brazil,BRA
jaguar_paraguayan_pantanal,Panthera onca,2,2,2993,8/9/05,8/19/06,375,240,478.2,-58.191354,-19.987544,"Paraguay, Bolivia","PRY, BOL"
jaguar_rio_negro,Panthera onca,4,3,688,8/22/15,6/24/16,307,301,9878.1,-56.248596,-19.639754,Brazil,BRA
jaguar_sao_bento,Panthera onca,11,11,8388,6/20/08,10/29/11,1226,180,9861.7,-56.965328,-19.502292,Brazil,BRA
leopard_laikipia_kenya,Panthera pardus,4,4,63174,1/20/14,1/27/15,372,15,796.8,36.8954337,0.30915798,Kenya,KEN
leopard_namibia,Panthera pardus,30,30,446189,11/26/12,1/17/24,4069,15,650,17.3653292,-22.671917,Namibia,NAM
leopard_sa_fattebert,Panthera pardus,18,18,29919,7/16/04,9/2/12,2970,300,5020.7,32.3241382,-27.793422,South Africa,ZAF
snow_leopard_mongolia,Panthera uncia,29,29,60566,8/19/08,6/16/24,5780,300,16739,100.630899,43.1982643,Mongolia,MNG
baboon_laikipia_kenya,Papio anubis,6,6,151007,1/15/14,1/27/15,377,15,88.1,36.9134325,0.32818693,Kenya,KEN
baboon_amboseli,Papio cynocephalus,12,12,418731,7/6/21,5/15/24,1044,5,54.3,37.0955744,-2.7172844,"Kenya, Tanzania","KEN, TZA"
yellow_baboon_amboseli_2018,Papio cynocephalus,22,22,145750,3/12/06,9/18/10,1651,60,7.1,37.0904597,2.71998457,Kenya,KEN
fishing_cat_khao_sam_roi_yot,Prionailurus viverrinus,13,12,56911,6/26/22,3/22/24,635,10,251.4,99.9024911,12.1903131,"Thailand, NA","THA, NA"
